timestamp,open,high,low,close,volume
2019-04-18 16:00:00,123.3900,123.5000,123.3000,123.3700,1327949
2019-04-18 15:55:00,123.4100,123.5200,123.3000,123.3900,931359
2019-04-18 15:50:00,123.3250,123.4200,123.2900,123.4100,340777
2019-04-18 15:45:00,123.3150,123.3550,123.2800,123.3200,268864
2019-04-18 15:40:00,123.3636,123.4185,123.2700,123.3150,293456
2019-04-18 15:35:00,123.2900,123.3700,123.1700,123.3699,430830
2019-04-18 15:30:00,123.3204,123.3400,123.2900,123.3000,186617
2019-04-18 15:25:00,123.3100,123.3300,123.2900,123.3198,178083
2019-04-18 15:20:00,123.3250,123.3300,123.2500,123.3200,136858
2019-04-18 15:15:00,123.2200,123.3300,123.2200,123.3250,190237
2019-04-18 15:10:00,123.3550,123.3550,123.2050,123.2300,188512
2019-04-18 15:05:00,123.4150,123.4300,123.3300,123.3550,185060
2019-04-18 15:00:00,123.3600,123.4950,123.3500,123.4150,266764
2019-04-18 14:55:00,123.2800,123.3600,123.2700,123.3600,192357
2019-04-18 14:50:00,123.3350,123.3600,123.2800,123.2800,138422
2019-04-18 14:45:00,123.1215,123.3400,123.1200,123.3350,187528
2019-04-18 14:40:00,123.2250,123.2600,123.1125,123.1200,155906
2019-04-18 14:35:00,123.2100,123.2600,123.1850,123.2300,156805
2019-04-18 14:30:00,123.2400,123.2400,123.1350,123.2050,189830
2019-04-18 14:25:00,123.2100,123.2800,123.2000,123.2350,268303
2019-04-18 14:20:00,123.2300,123.3356,123.1800,123.2077,238123
2019-04-18 14:15:00,123.1149,123.2400,123.1119,123.2250,165183
2019-04-18 14:10:00,123.1137,123.1200,123.0150,123.1100,198349
2019-04-18 14:05:00,123.0300,123.1400,122.9950,123.1100,191317
2019-04-18 14:00:00,123.0100,123.0700,123.0100,123.0268,184743
2019-04-18 13:55:00,122.9560,123.0200,122.9500,123.0100,236297
2019-04-18 13:50:00,122.8093,122.9600,122.8050,122.9600,140608
2019-04-18 13:45:00,122.8100,122.8600,122.7900,122.8100,125469
2019-04-18 13:40:00,122.8500,122.8700,122.7850,122.8200,155858
2019-04-18 13:35:00,122.8715,122.8900,122.8490,122.8550,134303
2019-04-18 13:30:00,122.9254,122.9368,122.8600,122.8790,135120
2019-04-18 13:25:00,122.8450,122.9300,122.8200,122.9274,149242
2019-04-18 13:20:00,122.8700,122.8900,122.8145,122.8400,140997
2019-04-18 13:15:00,122.8400,122.8900,122.8236,122.8750,130776
2019-04-18 13:10:00,122.8800,122.8950,122.8300,122.8361,141949
2019-04-18 13:05:00,122.8750,122.9001,122.8000,122.8800,177519
2019-04-18 13:00:00,122.9860,122.9900,122.8300,122.8764,299844
2019-04-18 12:55:00,122.9400,122.9900,122.8600,122.9900,278084
2019-04-18 12:50:00,122.8300,122.9500,122.8100,122.9434,388200
2019-04-18 12:45:00,122.5199,122.8300,122.5100,122.8300,709713
2019-04-18 12:40:00,122.4049,122.5600,122.4000,122.5200,384373
2019-04-18 12:35:00,122.4000,122.4100,122.3700,122.4000,226044
2019-04-18 12:30:00,122.4650,122.5000,122.4000,122.4075,133601
2019-04-18 12:25:00,122.4700,122.5000,122.4300,122.4600,140251
2019-04-18 12:20:00,122.4300,122.4800,122.3850,122.4700,179082
2019-04-18 12:15:00,122.4600,122.4600,122.3700,122.4200,125426
2019-04-18 12:10:00,122.5000,122.5100,122.3900,122.4550,198856
2019-04-18 12:05:00,122.4100,122.5000,122.3450,122.4900,217776
2019-04-18 12:00:00,122.3800,122.4700,122.3700,122.4400,273664
2019-04-18 11:55:00,122.3000,122.4200,122.2400,122.3700,197921
2019-04-18 11:50:00,122.2550,122.3400,122.2400,122.3000,181561
2019-04-18 11:45:00,122.2100,122.3000,122.1900,122.2600,170111
2019-04-18 11:40:00,122.1600,122.2400,122.1350,122.2100,188375
2019-04-18 11:35:00,122.0500,122.1865,122.0400,122.1501,212904
2019-04-18 11:30:00,122.1300,122.2250,122.0400,122.0400,183112
2019-04-18 11:25:00,122.2900,122.3400,122.1200,122.1200,167461
2019-04-18 11:20:00,122.3050,122.4000,122.2800,122.2900,154330
2019-04-18 11:15:00,122.2400,122.3700,122.1700,122.3050,203673
2019-04-18 11:10:00,122.0700,122.2500,122.0200,122.2450,212337
2019-04-18 11:05:00,122.1550,122.1800,122.0100,122.0700,149968
2019-04-18 11:00:00,122.0119,122.2000,122.0119,122.1600,162672
2019-04-18 10:55:00,122.2700,122.3000,122.0000,122.0100,228486
2019-04-18 10:50:00,121.8400,122.2600,121.8400,122.2600,346753
2019-04-18 10:45:00,121.8200,121.8500,121.6800,121.8233,187581
2019-04-18 10:40:00,121.8200,121.9700,121.7850,121.8200,164539
2019-04-18 10:35:00,121.9050,121.9900,121.7100,121.8100,281466
2019-04-18 10:30:00,121.9200,122.2500,121.8300,121.9050,285710
2019-04-18 10:25:00,122.0400,122.0550,121.8500,121.9100,297168
